10.140.0.153,Проспект Победы,46,Mikrotik Wireless 60G
10.142.0.46,,Mikrotik Stx6,
10.162.0.75,60480,Mikrotik Wireless 60G,
10.162.0.76,60480,Mikrotik Wireless 60G,
10.162.0.71,64800,Mikrotik Wireless 60G,
10.162.0.72,64800,Mikrotik Wireless 60G,
10.162.0.96,58320,Mikrotik Wireless 60G,
10.162.0.97,58320,Mikrotik Wireless 60G,
10.162.0.98,66000,Mikrotik Wireless 60G,
10.162.0.99,66000,Mikrotik Wireless 60G,
10.162.0.124,66000,Mikrotik Wireless 60G,
10.162.0.125,66000,Mikrotik Wireless 60G,
10.162.0.126,62640,Mikrotik Wireless,
10.162.0.127,62640,Mikrotik Wireless,
10.162.0.128,,Mikrotik Wireless,
10.162.0.129,,Mikrotik Wireless,
10.162.0.130,,Mikrotik Wireless,
10.162.0.131,,Mikrotik Wireless,
10.111.16.20,,Mikrotik Stx6,
10.111.16.23,,Mikrotik Stx6,
10.162.0.132, пока нас выгнали. Заставили снять антенны,Mikrotik Wireless,
10.162.0.133,,Mikrotik Wireless,
10.128.0.66,,Mikrotik Wireless 60G,
10.128.0.75,вырубил радио. забикс срёт,Mikrotik Wireless 60G,
10.136.0.9,,Mikrotik Stx6,
10.136.0.18,,Mikrotik Stx6,
10.135.0.85,,Mikrotik Stx6,
10.135.0.86,,Mikrotik Stx6,
10.135.0.98,,Mikrotik Wireless 60G,
10.135.0.99,,Mikrotik Wireless 60G,
10.162.0.145,,Mikrotik Wireless 60G,
10.162.0.146,,Mikrotik Wireless 60G,
10.148.0.33,,Mikrotik Stx6,
10.148.0.34,,Mikrotik Stx6,
10.162.0.147,,Mikrotik Wireless,
10.162.0.148,,Mikrotik Wireless,
10.135.0.82,,Mikrotik Wireless 60G,
10.135.0.96,,Mikrotik Wireless 60G,
10.140.0.38,,Mikrotik Dyne Dish 6,
10.140.0.39,,Mikrotik Dyne Dish 6,
10.143.0.187,,Mikrotik Wireless 60G,
10.143.0.181,,Mikrotik Wireless 60G,
10.131.0.55,,Mikrotik Stx6,
10.154.0.112,Заявка № 55242,Mikrotik Wireless 60G,
10.140.0.71,,Mikrotik Dyne Dish 6,
10.140.0.72,,Mikrotik Dyne Dish 6,
10.138.0.41,,Mikrotik Wireless 60G,
10.137.0.207,,Mikrotik Dyne Dish 6,
10.138.0.42,,Mikrotik Wireless 60G,
10.137.0.208,,Mikrotik Dyne Dish 6,
10.135.0.100,,Mikrotik Wireless 60G,
10.135.0.101,,Mikrotik Wireless 60G,
10.128.0.235,,Mikrotik Wireless 60G,
10.128.0.236,,Mikrotik Wireless 60G,
10.144.0.144,,Mikrotik Wireless 60G,
10.144.0.145,,Mikrotik Wireless 60G,
10.156.0.35,,Mikrotik Wireless 60G,
10.156.0.31,,Mikrotik Wireless 60G,
10.162.0.2,,Mikrotik Wireless 60G,
10.162.0.20,,Mikrotik Wireless 60G,
10.167.0.14,,Mikrotik Wireless 60G,
10.167.0.114,,Mikrotik Wireless 60G,
10.157.0.176,,Mikrotik Stx6,
10.163.0.221,,Mikrotik Wireless 60G,
10.111.6.91,,Mikrotik Wireless 60G,
10.111.6.90,,Mikrotik Wireless 60G,
10.149.0.42,,Mikrotik Wireless 60G,
10.139.0.135,,Mikrotik Wireless 60G,
10.139.0.136,,Mikrotik Wireless 60G,
10.157.0.177,,Mikrotik Stx6,
10.143.2.22,,Mikrotik Wireless 60G,
10.143.2.21,,Mikrotik Wireless 60G,
10.128.0.168,,Mikrotik Stx6,
10.128.0.230,,Mikrotik Stx6,
10.143.0.7,,Mikrotik Stx6,
10.143.2.10,,Mikrotik Stx6,
10.163.0.21,,Mikrotik Wireless,
10.163.0.22,,Mikrotik Wireless,
10.139.0.11,,Mikrotik Wireless 60G,
10.139.0.3,,Mikrotik Wireless 60G,
10.111.6.14,,Mikrotik Dyne Dish 6,
10.156.0.213,,Mikrotik Stx6,
10.156.0.212,,Mikrotik Stx6,
10.142.0.218,,Mikrotik Wireless 60G,
10.142.0.217,,Mikrotik Wireless 60G,
10.133.0.115,,Mikrotik Wireless 60G,
10.133.0.116,,Mikrotik Wireless 60G,
10.135.0.74,,Mikrotik Wireless 60G,
10.135.0.48,,Mikrotik Wireless 60G,
10.156.0.36,,Mikrotik Wireless 60G,
10.156.0.38,,Mikrotik Wireless 60G,
10.128.0.99,,Mikrotik Wireless 60G,
10.128.0.103,,Mikrotik Wireless 60G,
10.140.0.120,,Mikrotik Dyne Dish 6,
10.140.0.125,,Mikrotik Dyne Dish 6,
10.138.0.19,,Mikrotik Wireless 60G,
10.111.10.151,10.167.0.151,Mikrotik Wireless 60G,
10.111.10.150,,Mikrotik Wireless 60G,
10.139.0.31,,Mikrotik Wireless 60G,
10.139.0.43,,Mikrotik Wireless 60G,
10.111.10.215,,Mikrotik Wireless 60G,
10.111.10.216,,Mikrotik Wireless 60G,
10.144.0.64,,Mikrotik Wireless 60G,
10.144.0.65,,Mikrotik Wireless 60G,
10.143.0.238,,Mikrotik Wireless 60G,
10.143.0.236,,Mikrotik Wireless 60G,
10.143.0.61,,Mikrotik Wireless 60G,
10.143.0.69,,Mikrotik Wireless 60G,
10.135.0.102,,Mikrotik Wireless 60G,
10.135.0.108,,Mikrotik Wireless 60G,
10.148.0.42,,Mikrotik Wireless 60G,
10.148.0.43,,Mikrotik Wireless 60G,
10.150.0.3,,Mikrotik Wireless 60G,
10.150.0.5,,Mikrotik Wireless 60G,
10.150.0.9,,Mikrotik Wireless 60G,
10.150.0.10,,Mikrotik Wireless 60G,
10.111.10.129,,Mikrotik Wireless 60G,
10.111.10.128,,Mikrotik Wireless 60G,
10.128.0.29,,Mikrotik Stx6,
10.128.0.107,,Mikrotik Stx6,
10.135.0.147,,Mikrotik Wireless 60G,
10.135.0.148,,Mikrotik Wireless 60G,
10.163.0.241,,Mikrotik Wireless 60G,
10.163.0.242,,Mikrotik Wireless 60G,
10.131.0.47,,Mikrotik Wireless 60G,
10.131.0.50,,Mikrotik Wireless 60G,
10.135.0.239,,Mikrotik Wireless 60G,
10.135.0.246,,Mikrotik Wireless 60G,
10.163.0.35,Заявка № 42559,Mikrotik Wireless 60G,
10.163.0.36,,Mikrotik Wireless 60G,
10.132.0.13,,Mikrotik Wireless 60G,
10.132.0.27,,Mikrotik Wireless 60G,
10.140.0.34,,Mikrotik Wireless 60G,
10.111.10.39,,Mikrotik Stx6,
10.111.10.45,,Mikrotik Stx6,
10.140.0.15,Заявка № 48471,Mikrotik Wireless 60G,
10.140.0.16,Заявка № 48471,Mikrotik Wireless 60G,
10.138.0.36,,Mikrotik Wireless 60G,
10.111.18.32,,Mikrotik Wireless 60G,
10.111.18.33,,Mikrotik Wireless 60G,
10.111.10.144,,Mikrotik Wireless 60G,
10.111.10.146,,Mikrotik Wireless 60G,
10.140.0.43,,Mikrotik Wireless 60G,
10.140.0.45,,Mikrotik Wireless 60G,
10.131.0.205,,Mikrotik Wireless 60G,
10.131.0.206,,Mikrotik Wireless 60G,
10.163.0.38,,Mikrotik Wireless 60G,
10.163.0.37,,Mikrotik Wireless 60G,
10.111.10.41,,Mikrotik Wireless 60G,
10.111.10.42,,Mikrotik Wireless 60G,
10.143.0.167,,Mikrotik Wireless 60G,
10.143.0.183,,Mikrotik Wireless 60G,
10.128.0.70,,Mikrotik Wireless 60G,
10.128.0.176,на ямашева 10,Mikrotik Wireless 60G,
10.135.0.178,,Mikrotik Wireless 60G,
10.135.0.184,,Mikrotik Wireless 60G,
10.111.11.181,,Mikrotik Stx6,
10.111.11.182,,Mikrotik Stx6,
10.163.0.40,Заявка № 51581 ,Mikrotik Wireless,
10.163.0.41,Заявка № 51581 ,Mikrotik Wireless,
10.138.0.104,Заявка № 48212,Mikrotik Wireless 60G,
10.138.0.105,Заявка № 48212,Mikrotik Wireless 60G,
10.135.0.226,,Mikrotik Wireless 60G,
10.135.0.221,,Mikrotik Wireless 60G,
10.135.0.154,,Mikrotik Stx6,
10.111.10.149,,Mikrotik Stx6,
10.111.10.148,,Mikrotik Stx6,
10.137.0.35,Downlink to Пр.Победы 206,Mikrotik Wireless 60G,
10.137.0.36,Up-lplink,Mikrotik Wireless 60G,
 10.131.0.71,,Mikrotik Wireless 60G,
 10.131.0.70,,Mikrotik Wireless 60G,
10.139.0.93,,Mikrotik Wireless 60G,
10.139.0.94,,Mikrotik Wireless 60G,
10.136.0.23,Заявка № 52718,Mikrotik Wireless 60G,
10.136.0.24,Заявка № 52718,Mikrotik Wireless 60G,
10.111.10.33,,Mikrotik Stx6,
10.111.10.47,,Mikrotik Stx6,
10.135.0.41,,Mikrotik Wireless 60G,
10.135.0.185,,Mikrotik Wireless 60G,
10.143.0.9,заявка 53681,Mikrotik Wireless 60G,
10.143.0.12,Заявка № 53681,Mikrotik Wireless 60G,
10.162.0.27,,Mikrotik Wireless 60G,
10.162.0.149,,Mikrotik Wireless 60G,
10.138.0.5,Заявка № 33175,Mikrotik Wireless 60G,
10.138.0.37,Заявка № 33175,Mikrotik Wireless 60G,
10.143.2.62,,Mikrotik Wireless 60G,
10.143.2.63,,Mikrotik Wireless 60G,
10.144.0.93,Заявка № 53353,Mikrotik Wireless 60G,
10.144.0.92,Заявка № 53353,Mikrotik Wireless 60G,
10.145.0.3,,Mikrotik Wireless 60G,
10.145.0.15,,Mikrotik Wireless 60G,
10.145.0.19,,Mikrotik Wireless 60G,
10.145.0.18,Заявка № 54278,Mikrotik Wireless 60G,
10.163.0.42,,Mikrotik Wireless 60G,
10.163.0.44,,Mikrotik Wireless 60G,
10.136.0.25,Заявка № 54423,Mikrotik Wireless 60G,
10.136.0.30,Заявка № 54423,Mikrotik Wireless 60G,
10.167.0.8,Заявка № 54548,Mikrotik Wireless 60G,
10.167.0.10,Заявка № 54548,Mikrotik Wireless 60G,
10.143.2.23,Заявка № 55134 ,Mikrotik Dyne Dish 6,
10.135.0.62,Заявка № 48039 60480,Mikrotik Wireless 60G,
10.135.0.107,Заявка № 48039 60480,Mikrotik Wireless 60G,
10.163.0.128,Заявка № 55062,Mikrotik Wireless 60G,
 10.163.0.52,Заявка № 55062,Mikrotik Wireless 60G,
10.135.0.156,Заявка № 48039 58320,Mikrotik Wireless 60G,
10.135.0.157,Заявка № 48039 58320,Mikrotik Wireless 60G,
10.135.0.183,Заявка № 48039 64800,Mikrotik Wireless 60G,
10.135.0.188,Заявка № 48039 64800,Mikrotik Wireless 60G,
10.135.0.197,Заявка № 48039 62640,Mikrotik Wireless 60G,
10.135.0.199,Заявка № 48039 62640,Mikrotik Wireless 60G,
10.132.0.42,Резерв,Mikrotik Wireless 60G,
10.132.0.41,резерв для технической 13,Mikrotik Wireless 60G,
10.138.0.43,,Mikrotik Wireless 60G,
10.138.0.53,,Mikrotik Wireless 60G,
10.143.0.90,,Mikrotik Wireless 60G,
10.143.0.111,,Mikrotik Wireless 60G,
10.148.0.44,58320,Mikrotik Wireless 60G,
10.148.0.45,,Mikrotik Wireless 60G,
10.135.0.116,Заявка № 51562,Mikrotik Wireless 60G,
10.135.0.142,Заявка № 51562,Mikrotik Wireless 60G,
10.144.0.90,Заявка № 55796,Mikrotik Wireless 60G,
10.111.30.202,,Mikrotik Wireless 60G,
10.111.30.104,,Mikrotik Wireless 60G,
10.111.11.35,,Mikrotik Stx6,
10.111.11.36,,Mikrotik Stx6,
10.138.0.55,,Mikrotik Wireless 60G,
10.138.0.56,заявка 52780,Mikrotik Wireless 60G,
10.144.0.85,Заявка № 56141,Mikrotik Wireless 60G,
10.144.0.94,Заявка № 56141,Mikrotik Wireless 60G,
10.151.0.55,Заявка № 55986,Mikrotik Wireless 60G,
10.151.0.60,Заявка № 55986,Mikrotik Wireless 60G,
10.131.0.85,,Mikrotik Wireless 60G,
10.131.0.152,,Mikrotik Wireless 60G,
10.148.0.69,,Mikrotik Wireless 60G,
10.148.0.70,Заявка № 56087  7096-03f9,Mikrotik Wireless 60G,
10.135.2.8,Заявка № 55260,Mikrotik Wireless 60G,
10.135.2.9,,Mikrotik Wireless 60G,
10.141.0.5,Заявка № 56178,Mikrotik Wireless 60G,
10.141.0.47,Заявка № 56178,Mikrotik Wireless 60G,
10.138.0.57,Заявка № 55406 ,Mikrotik Wireless 60G,
10.138.0.58,Заявка № 55406 ,Mikrotik Wireless 60G,
10.139.0.252,,Mikrotik Wireless 60G,
10.139.0.251,Заявка № 56150 ,Mikrotik Wireless 60G,
10.138.0.60,56711,Mikrotik Wireless 60G,
10.138.0.61,56711,Mikrotik Wireless 60G,
10.144.0.96,,Mikrotik Wireless,
10.144.0.97,,Mikrotik Wireless,
10.139.0.241,,Mikrotik Wireless 60G,
10.139.0.240,,Mikrotik Wireless 60G,
10.145.0.26,,Mikrotik Wireless 60G,
10.145.0.27,Резерв на ЖК Барселона,Mikrotik Wireless 60G,
10.145.0.28,Резерв на Ершова 8 Заявка № 57462,Mikrotik Wireless 60G,
10.145.0.29,,Mikrotik Wireless 60G,
10.145.0.30,Резерв на Волкова 60,Mikrotik Wireless 60G,
10.145.0.31,на 25 порту,Mikrotik Wireless 60G,
10.139.0.66,Заявка № 57337 ,Mikrotik Wireless 60G,
10.139.0.67,,Mikrotik Wireless 60G,
10.135.2.17,56931,Mikrotik Wireless 60G,
10.135.2.18,56931,Mikrotik Wireless 60G,
10.143.0.14,Заявка № 53185,Mikrotik Wireless,
10.143.0.21,,Mikrotik Wireless,
10.143.0.77,ST,Mikrotik Wireless 60G,
10.143.0.66,53185,Mikrotik Wireless 60G,
10.143.0.74,53185,Mikrotik Wireless 60G,
10.143.2.12,,Mikrotik Wireless 60G,
10.143.2.13,,Mikrotik Wireless 60G,
10.143.0.70,Заявка № 57267,Mikrotik Wireless 60G,
10.143.0.158,,Mikrotik Wireless 60G,
10.163.0.57,,Mikrotik Wireless 60G,
10.163.0.59,,Mikrotik Wireless 60G,
10.138.0.69,,Mikrotik Wireless 60G,
10.128.0.67,,Mikrotik Wireless 60G,
10.128.0.68,,Mikrotik Wireless 60G,
10.139.0.119,,Mikrotik Wireless,
10.139.0.122,,Mikrotik Wireless,
10.139.0.132,,Mikrotik Wireless 60G,
10.139.0.134,,Mikrotik Wireless 60G,
10.167.0.16,58986,Mikrotik Wireless 60G,
10.167.0.18,,Mikrotik Wireless 60G,
10.163.0.67,,Mikrotik Wireless 60G,
10.163.0.68,,Mikrotik Wireless 60G,
10.142.0.64,,Mikrotik Wireless 60G,
10.142.0.76,,Mikrotik Wireless 60G,
10.162.0.142,,Mikrotik Wireless 60G,
10.138.0.68,,Mikrotik Wireless 60G,
10.138.0.50,,Mikrotik Wireless 60G,
10.138.0.71,,Mikrotik Wireless 60G,
10.138.0.79,,Mikrotik Wireless 60G,
10.138.0.74,,Mikrotik Wireless 60G,
10.137.0.38,,Mikrotik Wireless 60G,
10.137.0.26,,Mikrotik Wireless 60G,
10.150.0.19,,Mikrotik Wireless 60G,
10.150.0.20,,Mikrotik Wireless 60G,
10.135.0.27,,Mikrotik Wireless 60G,
10.135.0.136,,Mikrotik Wireless 60G,
10.156.0.71,,Mikrotik Wireless 60G,
10.156.0.72,,Mikrotik Wireless 60G,
10.167.0.21,,Mikrotik Wireless 60G,
10.167.0.22,,Mikrotik Wireless 60G,
10.137.0.57,Mik-137-58-ap,Mikrotik Wireless,
10.137.0.58,,Mikrotik Wireless,
10.111.53.5,,Mikrotik Wireless 60G,
10.111.53.6,,Mikrotik Wireless 60G,
10.163.0.64,,Mikrotik Wireless 60G,
10.163.0.65,,Mikrotik Wireless 60G,
10.128.0.137,,Mikrotik Wireless 60G,
10.128.0.139,,Mikrotik Wireless 60G,
10.128.0.142,,Mikrotik Wireless 60G,
10.128.0.143,,Mikrotik Wireless 60G,
10.137.0.63,,Mikrotik Wireless,
10.137.0.62,61282,Mikrotik Wireless,
10.143.0.129,61412,Mikrotik Wireless 60G,
10.143.0.138,61412,Mikrotik Wireless 60G,
10.138.0.154,Mik-138-73-ap,Mikrotik Stx6,
10.138.0.91,Mik-138-73-ap,Mikrotik Stx6,
10.138.0.85,,Mikrotik Wireless 60G,
10.138.0.93,Mik-138-93-ap,Mikrotik Wireless 60G,
10.128.0.153,,Mikrotik Wireless 60G,
10.128.0.113,,Mikrotik Wireless 60G,
10.138.0.75,Заявка № 56816,Mikrotik Wireless 60G,
10.138.0.87,Заявка № 56816,Mikrotik Wireless 60G,
10.131.0.93,Заявка № 63616 ,Mikrotik Wireless,
10.131.0.96,60g пироженка 63616,Mikrotik Wireless,
